,predicted_class,ProbMax
0,1301,1.0
1,1140,1.0
2,2583,1.0
3,2280,1.0
4,2403,1.0
5,1280,1.0
6,2060,1.0
7,1280,1.0
8,2705,1.0
9,1320,1.0
10,2585,1.0
11,2522,1.0
12,2060,1.0
13,1280,1.0
14,1320,1.0
15,1560,1.0
16,2583,1.0
17,1920,1.0
18,2585,1.0
19,1302,1.0
20,1281,1.0
21,2280,1.0
22,1300,1.0
23,60,1.0
24,1281,1.0
25,1160,1.0
26,2705,1.0
27,1160,0.5
28,1320,1.0
29,2280,1.0
30,2583,1.0
31,1280,1.0
32,2585,1.0
33,2522,1.0
34,2583,1.0
35,1280,1.0
36,10,0.7222222222222222
37,1140,1.0
38,2583,1.0
39,2705,1.0
40,2060,1.0
41,1560,1.0
42,1281,1.0
43,10,1.0
44,2220,1.0
45,1300,1.0
46,1560,1.0
47,1280,0.5
48,2060,1.0
49,2522,1.0
50,2583,1.0
51,1280,1.0
52,2522,1.0
53,2280,1.0
54,1160,1.0
55,1560,1.0
56,2280,1.0
57,2522,1.0
58,2582,1.0
59,1300,1.0
60,2060,1.0
61,60,1.0
62,2583,1.0
63,2403,1.0
64,2905,1.0
65,2522,1.0
66,2582,1.0
67,2905,1.0
68,1300,1.0
69,1300,1.0
70,2280,1.0
71,1160,1.0
72,1300,1.0
73,50,1.0
74,1920,1.0
75,2060,1.0
76,40,1.0
77,2522,1.0
78,2905,1.0
79,1560,1.0
80,2583,1.0
81,1280,1.0
82,1160,1.0
83,1560,1.0
84,1560,1.0
85,1280,1.0
86,2585,1.0
87,1280,1.0
88,50,1.0
89,2522,1.0
90,2522,1.0
91,2403,1.0
92,1281,1.0
93,2403,1.0
94,1160,1.0
95,1920,1.0
96,2522,1.0
97,1180,1.0
98,50,1.0
99,2060,1.0
100,1280,1.0
101,2705,1.0
102,1560,1.0
103,10,1.0
104,2280,1.0
105,1160,1.0
106,2585,1.0
107,1560,1.0
108,1281,1.0
109,1300,1.0
110,1920,1.0
111,2583,1.0
112,2583,1.0
113,2583,1.0
114,1560,1.0
115,1281,1.0
116,2705,1.0
117,2403,1.0
118,1280,1.0
119,2280,1.0
120,1281,0.5
121,1300,1.0
122,2403,1.0
123,2403,1.0
124,2462,1.0
125,2403,1.0
126,1560,1.0
127,2582,1.0
128,1140,1.0
129,1281,1.0
130,1560,1.0
131,1940,1.0
132,2522,1.0
133,1920,1.0
134,2585,1.0
135,2522,1.0
136,1300,1.0
137,1560,1.0
138,2582,1.0
139,2280,1.0
140,1140,1.0
141,1920,1.0
142,1560,1.0
143,1320,1.0
144,2583,1.0
145,1560,1.0
146,1160,1.0
147,1160,1.0
148,2522,1.0
149,2280,1.0
150,1300,1.0
151,1280,1.0
152,1140,1.0
153,40,1.0
154,1300,1.0
155,2583,1.0
156,2522,1.0
157,2403,1.0
158,2060,1.0
159,1160,1.0
160,1560,1.0
161,1280,1.0
162,1560,1.0
163,10,1.0
164,2582,1.0
165,1320,1.0
166,2583,1.0
167,10,0.7222222222222222
168,1301,1.0
169,2522,1.0
170,1300,1.0
171,2705,1.0
172,2583,1.0
173,1300,1.0
174,2583,1.0
175,1300,1.0
176,2583,1.0
177,1320,1.0
178,2220,1.0
179,10,1.0
180,2583,1.0
181,1160,1.0
182,2220,1.0
183,2583,1.0
184,1140,1.0
185,1280,1.0
186,2583,1.0
187,1920,1.0
188,2583,1.0
189,1560,1.0
190,1281,1.0
191,1560,1.0
192,1560,1.0
193,2585,1.0
194,1280,1.0
195,2060,1.0
196,1560,1.0
197,10,0.7222222222222222
198,40,1.0
199,1300,1.0
200,1300,1.0
201,1560,1.0
202,1280,1.0
203,2582,1.0
204,1140,1.0
205,1160,1.0
206,2403,1.0
207,2583,1.0
208,1300,1.0
209,2060,1.0
210,1300,1.0
211,50,1.0
212,1560,1.0
213,2522,1.0
214,1560,1.0
215,1920,1.0
216,2060,1.0
217,1920,1.0
218,2280,1.0
219,1560,1.0
220,10,1.0
221,1320,1.0
222,1920,1.0
223,2705,1.0
224,2060,1.0
225,10,0.7222222222222222
226,1280,1.0
227,2583,1.0
228,2585,1.0
229,10,1.0
230,2905,1.0
231,1160,1.0
232,2403,1.0
233,1140,1.0
234,1300,1.0
235,2280,1.0
236,2582,1.0
237,2403,1.0
238,1140,1.0
239,1140,1.0
240,1160,1.0
241,2585,1.0
242,1560,1.0
243,1140,1.0
244,1940,1.0
245,2583,1.0
246,2583,1.0
247,2522,1.0
248,2280,1.0
249,1920,1.0
250,1302,1.0
251,1560,1.0
252,1302,1.0
253,2060,1.0
254,1280,1.0
255,1560,1.0
256,10,0.5
257,2583,1.0
258,2403,1.0
259,2583,1.0
260,1140,1.0
261,2280,1.0
262,1920,1.0
263,40,1.0
264,10,1.0
265,1300,1.0
266,1280,1.0
267,2583,1.0
268,2522,1.0
269,1302,1.0
270,1300,0.5
271,1300,1.0
272,2280,1.0
273,2583,1.0
274,1280,1.0
275,1280,1.0
276,1560,1.0
277,1140,1.0
278,2060,1.0
279,1302,1.0
280,10,0.7222222222222222
281,2403,1.0
282,2522,1.0
283,2060,1.0
284,1560,1.0
285,1281,1.0
286,2705,1.0
287,1920,1.0
288,2522,1.0
289,40,1.0
290,1560,1.0
291,2583,1.0
292,2403,1.0
293,2583,1.0
294,1320,1.0
295,1300,1.0
296,2585,1.0
297,10,0.7222222222222222
298,2583,1.0
299,1300,1.0
300,1920,1.0
301,2280,1.0
302,1280,1.0
303,2462,1.0
304,1300,1.0
305,10,1.0
306,1160,1.0
307,1280,1.0
308,1160,1.0
309,1320,1.0
310,1920,1.0
311,1940,1.0
312,2462,1.0
313,1560,1.0
314,40,1.0
315,2060,1.0
316,1320,1.0
317,60,1.0
318,2403,1.0
319,1160,1.0
320,2060,1.0
321,2583,1.0
322,1300,1.0
323,2403,1.0
324,2583,1.0
325,1280,0.5
326,2583,1.0
327,2522,1.0
328,2583,1.0
329,2280,1.0
330,2060,1.0
331,40,1.0
332,1140,1.0
333,1300,1.0
334,1281,1.0
335,2583,1.0
336,2583,1.0
337,2583,1.0
338,2060,1.0
339,2403,1.0
340,10,1.0
341,1160,1.0
342,1560,1.0
343,10,0.7222222222222222
344,2060,1.0
345,2583,1.0
346,1920,1.0
347,2280,1.0
348,2583,1.0
349,2522,1.0
350,2462,1.0
351,2522,1.0
352,1160,0.5
353,2280,1.0
354,2280,1.0
355,1160,1.0
356,2060,1.0
357,2403,1.0
358,2522,1.0
359,1302,1.0
360,1160,1.0
361,10,1.0
362,2583,1.0
363,2060,1.0
364,60,1.0
365,2060,1.0
366,40,1.0
367,1320,1.0
368,2585,1.0
369,2403,1.0
370,10,0.7222222222222222
371,1920,1.0
372,2583,1.0
373,2060,1.0
374,2060,1.0
375,2582,1.0
376,1280,1.0
377,2583,1.0
378,1301,0.5
379,2060,1.0
380,2060,1.0
381,1140,1.0
382,1302,1.0
383,2060,1.0
384,2403,1.0
385,1281,1.0
386,2280,1.0
387,2280,1.0
388,10,1.0
389,1560,1.0
390,60,1.0
391,2582,1.0
392,2403,1.0
393,1560,1.0
394,2582,1.0
395,1560,1.0
396,2280,1.0
397,1920,1.0
398,2705,1.0
399,2060,1.0
400,2060,1.0
401,1920,1.0
402,1280,1.0
403,1560,1.0
404,2060,1.0
405,2403,1.0
406,2522,1.0
407,2705,1.0
408,1560,1.0
409,10,1.0
410,2585,1.0
411,1281,1.0
412,2403,1.0
413,2582,1.0
414,2583,1.0
415,10,1.0
416,50,1.0
417,10,1.0
418,2583,1.0
419,1560,0.5
420,2522,1.0
421,1920,0.5
422,1560,1.0
423,1280,1.0
424,2583,1.0
425,2220,1.0
426,1180,0.5
427,1280,1.0
428,2060,1.0
429,2522,1.0
430,1280,1.0
431,2583,1.0
432,1920,1.0
433,2583,1.0
434,40,1.0
435,2585,1.0
436,2585,1.0
437,1560,1.0
438,2583,1.0
439,2582,1.0
440,50,1.0
441,2522,1.0
442,2060,1.0
443,10,0.7222222222222222
444,2583,1.0
445,2583,1.0
446,10,0.7222222222222222
447,1920,1.0
448,2403,1.0
449,1160,1.0
450,1300,1.0
451,1920,1.0
452,2522,1.0
453,1560,1.0
454,40,1.0
455,2522,1.0
456,1920,1.0
457,1920,1.0
458,2060,1.0
459,1560,1.0
460,1560,0.5
461,50,1.0
462,1560,1.0
463,2583,1.0
464,10,1.0
465,1320,1.0
466,2585,1.0
467,1140,1.0
468,1280,1.0
469,40,1.0
470,2522,1.0
471,1140,1.0
472,2522,1.0
473,2522,1.0
474,2060,1.0
475,1140,1.0
476,2583,1.0
477,2583,1.0
478,2522,1.0
479,1280,1.0
480,60,1.0
481,1920,1.0
482,1300,1.0
483,2403,1.0
484,2060,1.0
485,10,1.0
486,2705,1.0
487,1302,1.0
488,1302,1.0
489,40,1.0
490,2403,1.0
491,40,1.0
492,2583,1.0
493,50,1.0
494,1560,1.0
495,1160,1.0
496,1300,1.0
497,10,1.0
498,1302,0.5
499,1320,1.0
500,2582,1.0
501,2280,1.0
502,2585,1.0
503,2220,1.0
504,2583,1.0
505,2280,1.0
506,2522,1.0
507,1320,1.0
508,1140,1.0
509,1920,1.0
510,2705,1.0
511,2280,1.0
512,2462,1.0
513,1302,1.0
514,2060,1.0
515,1320,1.0
516,1140,1.0
517,2582,1.0
518,1560,1.0
519,2705,1.0
520,2583,1.0
521,2280,1.0
522,40,1.0
523,1320,1.0
524,2280,1.0
525,10,1.0
526,2582,1.0
527,2705,1.0
528,1281,1.0
529,10,1.0
530,1920,1.0
531,1920,1.0
532,2582,1.0
533,1280,1.0
534,2522,1.0
535,1280,1.0
536,2280,1.0
537,2220,1.0
538,2583,1.0
539,40,1.0
540,2583,1.0
541,2403,1.0
542,2403,1.0
543,2583,1.0
544,2585,1.0
545,2583,1.0
546,1281,1.0
547,1160,1.0
548,1920,1.0
549,2280,1.0
550,1920,1.0
551,1300,1.0
552,2403,1.0
553,1280,1.0
554,2462,1.0
555,1160,1.0
556,2280,1.0
557,1300,1.0
558,2585,1.0
559,1560,1.0
560,60,1.0
561,2522,1.0
562,2582,1.0
563,1280,1.0
564,2522,1.0
565,2522,1.0
566,1920,1.0
567,1160,1.0
568,2583,1.0
569,1160,1.0
570,2060,1.0
571,2522,1.0
572,1920,1.0
573,1280,1.0
574,2060,1.0
575,1302,1.0
576,2280,1.0
577,2280,1.0
578,2060,1.0
579,1560,1.0
580,1280,1.0
581,2705,1.0
582,2522,1.0
583,1160,1.0
584,1280,1.0
585,1280,1.0
586,1280,0.5
587,2280,1.0
588,2583,1.0
589,2583,1.0
590,1920,1.0
591,2280,1.0
592,1920,1.0
593,1920,1.0
594,2905,1.0
595,1560,1.0
596,2522,1.0
597,2280,1.0
598,2583,1.0
599,2462,1.0
600,1300,1.0
601,1160,1.0
602,1140,1.0
603,2280,1.0
604,2403,0.5
605,2583,1.0
606,1560,1.0
607,2583,1.0
608,2583,1.0
609,2280,1.0
610,10,0.3333333333333333
611,2060,1.0
612,50,1.0
613,1280,1.0
614,2280,1.0
615,2403,1.0
616,1560,1.0
617,1920,1.0
618,2585,1.0
619,1302,1.0
620,2583,1.0
621,2060,1.0
622,1281,1.0
623,1160,1.0
624,1920,0.5
625,2583,1.0
626,2582,1.0
627,60,1.0
628,2582,1.0
629,1320,1.0
630,1281,1.0
631,1940,1.0
632,2522,1.0
633,1280,1.0
634,10,1.0
635,10,0.7222222222222222
636,2582,1.0
637,1300,1.0
638,1280,1.0
639,2583,1.0
640,2060,1.0
641,2582,1.0
642,10,0.7222222222222222
643,50,1.0
644,2522,1.0
645,1140,1.0
646,10,1.0
647,50,1.0
648,1301,0.5
649,1560,1.0
650,2585,1.0
651,10,0.7222222222222222
652,50,1.0
653,2280,1.0
654,40,1.0
655,40,1.0
656,1160,1.0
657,50,1.0
658,1300,1.0
659,2522,1.0
660,2403,1.0
661,2583,1.0
662,60,1.0
663,2280,1.0
664,1280,1.0
665,1160,1.0
666,2060,1.0
667,1320,1.0
668,1180,1.0
669,2403,1.0
670,10,1.0
671,2583,1.0
672,2583,1.0
673,1280,1.0
674,1300,1.0
675,2585,1.0
676,10,1.0
677,1920,1.0
678,1280,1.0
679,10,0.7222222222222222
680,2060,1.0
681,1280,1.0
682,1560,1.0
683,2522,1.0
684,40,1.0
685,1300,1.0
686,60,1.0
687,2522,1.0
688,1280,1.0
689,2403,1.0
690,2403,1.0
691,1300,1.0
692,10,0.7222222222222222
693,1300,1.0
694,2060,1.0
695,10,1.0
696,1280,1.0
697,2582,1.0
698,1920,1.0
699,1160,1.0
700,2060,1.0
701,1560,1.0
702,2060,1.0
703,1281,1.0
704,2522,1.0
705,2220,1.0
706,2582,0.5
707,2585,1.0
708,1280,1.0
709,1160,1.0
710,10,0.7222222222222222
711,1300,1.0
712,1280,1.0
713,1320,1.0
714,1140,1.0
715,1920,1.0
716,1301,1.0
717,1920,1.0
718,1300,1.0
719,2060,1.0
720,1302,1.0
721,2705,1.0
722,2403,1.0
723,2462,1.0
724,2060,1.0
725,2522,1.0
726,2585,1.0
727,2060,1.0
728,2585,1.0
729,2403,1.0
730,1560,1.0
731,1180,1.0
732,1281,1.0
733,2522,1.0
734,1160,1.0
735,2522,1.0
736,2280,1.0
737,2462,1.0
738,1302,1.0
739,2522,1.0
740,1320,0.5
741,2462,1.0
742,1280,1.0
743,10,1.0
744,1280,1.0
745,40,1.0
746,2582,1.0
747,1320,1.0
748,1302,0.5
749,1920,1.0
750,1160,1.0
751,1920,1.0
752,2403,1.0
753,1920,1.0
754,2583,1.0
755,2280,0.5
756,1320,1.0
757,2403,1.0
758,2280,1.0
759,2403,1.0
760,1940,0.5
761,2582,1.0
762,2403,1.0
763,2280,1.0
764,1920,1.0
765,2403,1.0
766,2583,1.0
767,2280,1.0
768,10,0.7222222222222222
769,1300,1.0
770,1160,1.0
771,2522,1.0
772,2522,1.0
773,2583,1.0
774,1560,1.0
775,1160,1.0
776,1140,1.0
777,2705,1.0
778,1280,1.0
779,2583,1.0
780,1320,1.0
781,2585,1.0
782,2060,1.0
783,2280,1.0
784,1302,1.0
785,60,1.0
786,1320,1.0
787,2705,1.0
788,2462,1.0
789,1280,0.5
790,10,0.7222222222222222
791,2403,1.0
792,1560,1.0
793,1560,1.0
794,1320,1.0
795,1320,1.0
796,10,1.0
797,1301,1.0
798,2705,1.0
799,1300,1.0
800,2403,1.0
801,2403,1.0
802,2583,1.0
803,2583,1.0
804,2583,1.0
805,10,1.0
806,2522,1.0
807,2462,1.0
808,2060,1.0
809,1302,1.0
810,1180,1.0
811,2582,1.0
812,1140,0.5
813,1940,0.5
814,1280,0.5
815,1300,1.0
816,1280,1.0
817,1302,1.0
818,1302,1.0
819,2060,1.0
820,2583,1.0
821,1302,1.0
822,2522,1.0
823,1281,1.0
824,1281,1.0
825,2583,1.0
826,10,1.0
827,1560,1.0
828,10,1.0
829,1320,1.0
830,2522,1.0
831,1320,1.0
832,2705,1.0
833,1280,1.0
834,10,0.7222222222222222
835,2522,1.0
836,2582,1.0
837,50,1.0
838,2583,1.0
839,10,0.7222222222222222
840,1301,1.0
841,2403,1.0
842,1280,0.5
843,1281,1.0
844,1280,1.0
845,1280,1.0
846,2522,1.0
847,1300,1.0
848,1560,1.0
849,1280,1.0
850,1302,1.0
851,1560,1.0
852,40,1.0
853,2403,1.0
854,1281,1.0
855,1920,1.0
856,1940,1.0
857,1160,1.0
858,2583,1.0
859,1300,1.0
860,2705,1.0
861,1281,1.0
862,1300,1.0
863,2060,1.0
864,2462,1.0
865,2280,1.0
866,10,1.0
867,2582,1.0
868,1300,1.0
869,1320,1.0
870,1320,1.0
871,1160,1.0
872,2462,1.0
873,1281,1.0
874,2585,1.0
875,1302,1.0
876,1320,1.0
877,1140,1.0
878,1160,1.0
879,10,0.7222222222222222
880,1320,0.5
881,2583,1.0
882,2403,1.0
883,2705,1.0
884,60,1.0
885,1560,1.0
886,1281,0.5
887,2522,1.0
888,1320,1.0
889,2582,1.0
890,2220,1.0
891,1302,1.0
892,2280,1.0
893,10,1.0
894,2403,1.0
895,1940,1.0
896,2585,1.0
897,2583,1.0
898,2583,1.0
899,2585,1.0
900,2705,1.0
901,2522,1.0
902,2905,1.0
903,2522,1.0
904,1920,1.0
905,1300,1.0
906,1560,1.0
907,2522,1.0
908,2705,1.0
909,1320,1.0
910,1280,0.5
911,2705,1.0
912,1560,1.0
913,1160,1.0
914,1280,0.5
915,1300,1.0
916,1140,1.0
917,2905,1.0
918,2583,1.0
919,1160,1.0
920,2583,1.0
921,1560,1.0
922,1300,1.0
923,1280,1.0
924,1280,1.0
925,1280,1.0
926,1140,1.0
927,1180,1.0
928,50,1.0
929,1300,1.0
930,2583,1.0
931,2583,1.0
932,2583,1.0
933,1320,1.0
934,1160,1.0
935,1560,1.0
936,1140,1.0
937,1920,1.0
938,1300,1.0
939,1302,1.0
940,1320,1.0
941,2522,1.0
942,2583,1.0
943,2583,1.0
944,1281,1.0
945,2522,1.0
946,2583,1.0
947,2583,1.0
948,1140,0.5
949,10,1.0
950,2705,1.0
951,10,0.7222222222222222
952,2583,1.0
953,1560,1.0
954,1281,1.0
955,1301,1.0
956,2280,1.0
957,1300,1.0
958,1140,1.0
959,10,0.7222222222222222
960,2583,1.0
961,2522,1.0
962,2585,1.0
963,2585,1.0
964,1560,1.0
965,10,0.7222222222222222
966,1920,1.0
967,1920,1.0
968,2905,1.0
969,1300,1.0
970,2583,1.0
971,2585,1.0
972,40,1.0
973,1320,1.0
974,2220,1.0
975,1160,1.0
976,1300,1.0
977,2583,1.0
978,1301,1.0
979,1320,1.0
980,10,0.7222222222222222
981,2583,1.0
982,2583,1.0
983,1180,0.5
984,2060,1.0
985,1302,1.0
986,1281,1.0
987,1920,1.0
988,2060,1.0
989,2462,1.0
990,2583,1.0
991,10,1.0
992,1320,1.0
993,1920,1.0
994,2582,1.0
995,10,0.7222222222222222
996,2705,1.0
997,1560,1.0
998,1300,1.0
999,1560,1.0
1000,2403,1.0
1001,1281,1.0
1002,10,0.7222222222222222
1003,2403,1.0
1004,2705,1.0
1005,1560,1.0
1006,2583,1.0
1007,1920,1.0
1008,1560,1.0
1009,2585,1.0
1010,1920,1.0
1011,1160,1.0
1012,1280,1.0
1013,1300,1.0
1014,1320,1.0
1015,2060,1.0
1016,2060,1.0
1017,2583,1.0
1018,10,0.7222222222222222
1019,2522,1.0
1020,2583,1.0
1021,1300,1.0
1022,1560,1.0
