,predicted_class,ProbMax
0,1301,0.166
1,1140,0.0187
2,2583,0.6274000000000001
3,10,0.018600000000000002
4,1160,0.0433
5,1280,0.0158
6,2060,0.031400000000000004
7,1300,0.060899999999999996
8,2705,0.0673
9,10,0.034300000000000004
10,2583,0.0134
11,2403,0.0431
12,2060,0.09380000000000001
13,1300,0.041299999999999996
14,2060,0.0075
15,1560,0.0232
16,2583,0.29109999999999997
17,1920,0.0159
18,40,0.0305
19,1280,0.0325
20,1281,0.0321
21,1940,0.0165
22,1300,0.9075
23,60,0.4757
24,1281,0.0242
25,1160,0.0696
26,2705,0.0322
27,1160,0.2073
28,1560,0.0405
29,2280,0.0264
30,2583,0.5671
31,1280,0.0849
32,1560,0.025
33,2522,0.2158
34,2583,0.2593
35,1302,0.124
36,10,0.24760000000000001
37,1140,0.1127
38,2583,0.6535
39,2705,0.0537
40,2060,0.013600000000000001
41,1560,0.1069
42,2060,0.0171
43,2705,0.0177
44,2220,0.0172
45,1300,0.436
46,1560,0.0223
47,10,0.152
48,2060,0.0409
49,1560,0.009399999999999999
50,2583,2.1075999999999997
51,1280,0.012199999999999999
52,2522,0.0194
53,2280,0.0852
54,1160,0.11259999999999999
55,2280,0.0060999999999999995
56,2280,0.1042
57,2522,0.1288
58,1560,0.0282
59,1300,0.6722
60,2060,0.17809999999999998
61,60,1.6719
62,2583,0.4428
63,2403,1.3788999999999998
64,2905,0.1338
65,2522,0.1938
66,1300,0.1117
67,2905,0.25780000000000003
68,1300,1.0568
69,1300,0.2101
70,2280,0.1002
71,1160,0.2161
72,1300,0.5303
73,2462,0.013999999999999999
74,1920,0.6518
75,1280,0.0121
76,40,1.7407
77,2522,0.0509
78,2905,0.1521
79,1560,0.1458
80,10,0.0691
81,1280,0.0687
82,1160,0.1243
83,1560,0.0537
84,1560,0.1361
85,1300,0.0291
86,2585,0.1025
87,1280,0.025699999999999997
88,1560,0.0225
89,2522,0.0315
90,2522,0.30579999999999996
91,2403,1.1122
92,2060,0.013000000000000001
93,2403,0.04
94,1160,0.3505
95,1920,1.0878
96,2522,0.3575
97,1180,0.0754
98,2462,0.0478
99,2060,0.0277
100,1300,0.0323
101,2705,0.0076
102,1300,0.0144
103,10,0.0487
104,2583,0.0848
105,1160,0.19010000000000002
106,1302,0.2912
107,10,0.013500000000000002
108,1281,0.0181
109,1300,0.8639
110,1920,0.42560000000000003
111,2583,0.3433
112,2583,0.6646
113,2583,0.3272
114,1560,0.08259999999999999
115,1281,0.0218
116,2705,0.0233
117,2403,0.073
118,1300,0.3257
119,2280,0.075
120,1302,0.0152
121,1300,0.6953
122,2403,0.6119
123,10,0.008100000000000001
124,2403,0.0037
125,10,0.0204
126,1920,0.0197
127,2582,0.0886
128,1140,0.052000000000000005
129,1280,0.0581
130,1560,0.0592
131,10,0.0215
132,2522,0.0173
133,1920,0.1481
134,2585,0.1215
135,2522,3.7014
136,1300,0.4457
137,1920,0.052000000000000005
138,2582,0.018500000000000003
139,2280,0.12119999999999999
140,40,0.015
141,1920,0.2741
142,2582,0.019
143,2403,0.057300000000000004
144,2583,0.3114
145,2582,0.0333
146,1160,0.055099999999999996
147,1160,0.34159999999999996
148,2583,0.0452
149,2280,0.065
150,1300,0.505
151,1320,0.0089
152,1140,0.0348
153,40,0.10640000000000001
154,1300,1.0783
155,2583,0.5943
156,2522,0.1313
157,2403,0.0313
158,2060,0.052300000000000006
159,1160,0.0946
160,1560,0.0364
161,1280,0.0086
162,1560,0.0204
163,10,0.0287
164,2582,0.0084
165,1320,0.1359
166,2583,0.6082
167,10,0.2268
168,1301,0.1061
169,2522,0.0852
170,1920,0.0199
171,2705,0.091
172,2583,0.4485
173,1300,0.6148
174,2583,0.7911
175,1300,0.4415
176,2583,0.6848000000000001
177,50,0.009000000000000001
178,1280,0.0208
179,2060,0.0134
180,2583,0.3871
181,1160,0.046
182,2220,0.0757
183,2583,0.2764
184,1140,0.098
185,1280,0.053200000000000004
186,2583,0.6988
187,1920,0.6136
188,1280,0.0124
189,1560,0.1975
190,1300,0.0179
191,1560,0.2701
192,1560,0.0241
193,1320,0.022799999999999997
194,1280,0.1232
195,2060,0.0363
196,2583,0.016399999999999998
197,10,0.0688
198,10,0.0178
199,1300,0.574
200,1300,0.8787999999999999
201,2583,0.0679
202,1280,0.0273
203,2582,0.0659
204,1140,0.29469999999999996
205,10,0.0199
206,2403,0.20350000000000001
207,2583,0.5157
208,1300,0.5415
209,2060,0.016399999999999998
210,1300,0.5717
211,2462,0.0108
212,1560,0.09630000000000001
213,10,0.08529999999999999
214,1560,0.0125
215,1560,0.0179
216,2060,0.0369
217,2522,0.018500000000000003
218,2280,0.0673
219,1560,0.10339999999999999
220,10,0.155
221,2585,0.0347
222,1920,0.4733
223,2705,0.030899999999999997
224,2060,0.0167
225,10,0.28809999999999997
226,1300,0.09359999999999999
227,2583,1.8548
228,2585,0.0125
229,2280,0.0177
230,2905,1.0359
231,1160,0.0637
232,10,0.038
233,1280,0.0086
234,1300,0.9743
235,2280,0.08410000000000001
236,2582,0.32030000000000003
237,2403,0.9887
238,1140,0.055099999999999996
239,1140,0.063
240,1160,0.0626
241,10,0.042800000000000005
242,1560,0.039900000000000005
243,1281,0.0191
244,1940,0.039900000000000005
245,2583,0.5134000000000001
246,10,0.0296
247,2522,0.0727
248,2280,0.0932
249,1920,0.2697
250,2583,0.0128
251,2583,0.0866
252,1302,0.0479
253,1920,0.0096
254,10,0.024
255,1560,0.0726
256,10,0.0229
257,2583,0.49329999999999996
258,2403,0.1536
259,2583,0.7373999999999999
260,1280,0.0371
261,2280,0.1418
262,1920,0.1159
263,10,0.134
264,10,0.0087
265,1300,0.4371
266,1300,0.2161
267,2583,0.099
268,2522,0.08529999999999999
269,1302,0.3679
270,50,0.026000000000000002
271,1300,0.7167
272,40,0.0337
273,2583,0.3147
274,1280,0.0263
275,1300,0.0901
276,2060,0.0103
277,1140,0.0638
278,1560,0.0886
279,1302,0.045899999999999996
280,10,0.2858
281,10,0.2064
282,2585,0.043
283,2060,0.0446
284,1560,0.0525
285,1281,0.0258
286,2705,0.0529
287,1920,0.7951999999999999
288,2522,0.1821
289,40,0.0254
290,1560,0.3003
291,2583,0.8155
292,2403,0.029300000000000003
293,2583,0.4827
294,1320,0.7923
295,1300,0.5143
296,2585,0.3796
297,10,0.3774
298,2583,0.386
299,1300,0.6524
300,1920,0.2762
301,2280,0.028300000000000002
302,1280,0.0637
303,1281,0.0182
304,1300,0.6744
305,10,0.0688
306,1160,0.7258
307,1300,0.0322
308,1160,0.1467
309,1320,0.0483
310,1920,0.29460000000000003
311,1940,0.024700000000000003
312,2462,0.1094
313,1560,0.1508
314,2462,0.0218
315,2060,0.057999999999999996
316,1320,0.0801
317,60,1.5647
318,2403,0.0894
319,1160,0.059500000000000004
320,50,0.009300000000000001
321,2583,0.5271
322,1300,0.4758
323,2403,0.0102
324,2583,0.9178000000000001
325,10,0.2394
326,2583,0.5365
327,1320,0.0072
328,2583,0.4397
329,2280,0.1014
330,2060,0.20309999999999997
331,10,0.1923
332,1140,0.1775
333,1300,0.0339
334,2705,0.0109
335,2583,0.6933
336,2583,0.48590000000000005
337,2583,0.4703
338,2522,0.0148
339,2403,0.24480000000000002
340,2403,0.0329
341,1160,0.3849
342,10,0.04190000000000001
343,10,0.28850000000000003
344,2060,0.442
345,2583,0.6064
346,1920,0.41
347,10,0.1582
348,2583,1.5787
349,2522,0.0182
350,2462,0.0924
351,10,0.0786
352,10,0.1015
353,2280,0.0227
354,2280,0.1264
355,1160,0.0885
356,2060,0.04
357,2280,0.0184
358,2522,0.2491
359,1302,0.0432
360,1160,0.08220000000000001
361,2705,0.0687
362,2583,0.7091
363,2060,0.018600000000000002
364,60,0.7704000000000001
365,2060,0.0375
366,40,1.6481000000000001
367,1320,0.1018
368,1560,0.009300000000000001
369,2403,0.0134
370,10,0.3774
371,1920,1.0554999999999999
372,2583,0.5367999999999999
373,2060,0.0567
374,2060,0.028900000000000002
375,10,0.048600000000000004
376,1280,0.0183
377,2583,0.2481
378,1280,0.030899999999999997
379,2060,0.028300000000000002
380,2060,0.0453
381,1140,0.122
382,1302,0.0103
383,2583,0.0103
384,2403,0.1438
385,2583,0.0179
386,10,0.2473
387,2280,0.0746
388,1160,0.1373
389,1560,0.0781
390,60,0.9693999999999999
391,2583,0.027000000000000003
392,2403,0.11630000000000001
393,1560,0.0139
394,2582,0.2445
395,1560,0.029300000000000003
396,10,0.0287
397,1920,0.5189
398,10,0.10339999999999999
399,2060,0.0932
400,2060,0.3651
401,1920,0.2892
402,1280,0.0793
403,1560,0.0409
404,2060,0.0424
405,10,0.11380000000000001
406,40,0.0282
407,2705,0.014199999999999999
408,1560,0.060700000000000004
409,2705,0.027200000000000002
410,2060,0.0546
411,1160,0.0499
412,2403,0.0336
413,2582,0.0292
414,2583,0.6466
415,2705,0.0426
416,50,0.0344
417,10,0.0281
418,2583,0.5665
419,10,0.1232
420,2522,3.5674
421,1920,0.0409
422,1560,0.0215
423,1302,0.04
424,2583,0.9079
425,2583,0.0194
426,10,0.0415
427,1280,0.0479
428,1302,0.026600000000000002
429,2522,0.11599999999999999
430,2583,0.0315
431,2583,0.8223
432,1920,0.569
433,2583,0.055099999999999996
434,2060,0.0339
435,2060,0.0096
436,2585,0.2631
437,2060,0.0644
438,2583,0.6474
439,1300,0.1451
440,2585,0.0068000000000000005
441,2522,0.30579999999999996
442,2060,0.1197
443,10,0.2186
444,2583,0.1702
445,2583,0.5592
446,10,0.3774
447,1920,0.5281
448,2403,0.16149999999999998
449,1160,0.0166
450,1300,0.49829999999999997
451,1920,0.050199999999999995
452,40,0.021400000000000002
453,2582,0.0337
454,40,0.044800000000000006
455,1920,0.0171
456,1920,0.1757
457,1920,0.028399999999999998
458,2060,0.293
459,1560,0.545
460,2522,0.0066
461,50,0.028300000000000002
462,1560,0.0992
463,2583,0.2634
464,10,0.0571
465,1320,0.06269999999999999
466,50,0.0067
467,2060,0.013300000000000001
468,1280,0.0403
469,40,0.032
470,1280,0.0197
471,1140,0.0709
472,2522,0.2994
473,2522,4.1286000000000005
474,2060,0.11259999999999999
475,1140,0.0147
476,2583,0.8075
477,2583,1.3903999999999999
478,2522,4.1775
479,1280,0.0262
480,60,1.4857
481,1920,0.0278
482,1300,0.8184
483,2403,0.6640999999999999
484,2060,0.084
485,2403,0.0121
486,2705,0.0121
487,1302,0.3812
488,1280,0.015700000000000002
489,40,0.21660000000000001
490,2403,0.3527
491,40,0.0098
492,2583,0.49689999999999995
493,1920,0.011200000000000002
494,1560,0.07339999999999999
495,1160,0.1825
496,1300,0.7807999999999999
497,10,0.032799999999999996
498,1560,0.023700000000000002
499,2583,0.1285
500,10,0.0028000000000000004
501,1560,0.0077
502,2585,0.0131
503,2220,0.030299999999999997
504,2583,0.6374
505,2280,0.16510000000000002
506,10,0.0074
507,1320,0.26649999999999996
508,1140,0.0078000000000000005
509,1920,0.7373000000000001
510,2705,0.0308
511,2280,0.0788
512,2462,0.1991
513,1302,0.35979999999999995
514,2583,0.016200000000000003
515,2583,0.0087
516,2522,0.022400000000000003
517,1920,0.0109
518,1560,0.006
519,2705,0.0415
