,predicted_class,ProbMax
0,1301,0.9947337
1,1140,0.47783297
2,2583,0.9999902
3,2280,0.36874118
4,2403,0.62366354
5,1280,0.6615038
6,1560,0.6179722
7,1280,0.9384466
8,2705,0.99674004
9,1940,0.28248042
10,2585,0.96102804
11,1300,0.26697582
12,2060,0.9988279
13,1280,0.9354629
14,2060,0.71922094
15,1560,0.968646
16,2583,0.95719814
17,1920,0.97525895
18,40,0.92116123
19,1280,0.95847917
20,1281,0.5295233
21,1940,0.84671766
22,1300,0.99986506
23,60,0.99935335
24,1281,0.5561171
25,1160,0.8403454
26,2705,0.8392668
27,1160,0.97727805
28,1560,0.6794091
29,2280,0.7102863
30,2583,0.99284995
31,1280,0.95752394
32,2585,0.68739754
33,2522,0.99947363
34,2583,0.999527
35,1302,0.7366012
36,10,0.2683974
37,1140,0.8055164
38,2583,0.9997657
39,2705,0.9991248
40,1940,0.66422945
41,1560,0.9961068
42,2060,0.7667249
43,1281,0.37783074
44,2220,0.9970734
45,1300,0.9974486
46,1320,0.29180732
47,10,0.24736366
48,2060,0.9828592
49,50,0.32656372
50,2583,0.99998
51,1302,0.624729
52,2522,0.7477099
53,2280,0.9634406
54,1160,0.85187703
55,2280,0.115571395
56,2280,0.97568184
57,2522,0.96711016
58,1560,0.6158489
59,1300,0.9997863
60,2060,0.99880373
61,60,0.9999839
62,2583,0.9997422
63,2403,0.9844428
64,2905,0.99973744
65,2522,0.95725846
66,1300,0.6065003
67,2905,0.9997081
68,1300,0.9999113
69,1300,0.9499367
70,2280,0.9392011
71,1160,0.99962926
72,1300,0.99963856
73,60,0.6459882
74,1920,0.9997154
75,1280,0.38316023
76,40,0.9972281
77,2522,0.9283482
78,2905,0.9997911
79,1560,0.9994998
80,2060,0.35309058
81,1280,0.9500981
82,1160,0.80875146
83,1560,0.97567606
84,1560,0.99720865
85,1280,0.9905585
86,2585,0.95946014
87,1280,0.84807396
88,50,0.87243205
89,2522,0.38856652
90,2522,0.993604
91,2403,0.98820275
92,2060,0.8568917
93,2403,0.53546953
94,1160,0.9969182
95,1920,0.9998965
96,2522,0.9560187
97,1180,0.99869305
98,2462,0.8366836
99,2060,0.94964075
100,1280,0.7722256
101,2705,0.58620995
102,1280,0.57896316
103,10,0.40222484
104,2280,0.4502066
105,1160,0.99952173
106,1302,0.9957
107,1560,0.4085652
108,1281,0.4473352
109,1300,0.99977106
110,1920,0.99858886
111,2583,0.96000445
112,2583,0.9967014
113,2583,0.9974432
114,1560,0.9786099
115,1281,0.36438888
116,2705,0.9795798
117,2403,0.6390931
118,1300,0.71663094
119,2280,0.72188354
120,1302,0.99185187
121,1300,0.99984896
122,2403,0.9680967
123,1280,0.18637803
124,1280,0.17774013
125,2403,0.592813
126,2060,0.81427944
127,2582,0.80245006
128,1140,0.9346156
129,1281,0.5868995
130,1560,0.888845
131,10,0.1921127
132,1280,0.4182344
133,1920,0.9971234
134,2585,0.9811513
135,2522,0.9996711
136,1300,0.99936134
137,1920,0.87123764
138,2582,0.8563422
139,2280,0.9873072
140,1140,0.36806655
141,1920,0.9985442
142,2582,0.5581305
143,2403,0.41580236
144,2583,0.9991953
145,2582,0.9658501
146,1160,0.37977576
147,1160,0.9287506
148,2583,0.6077548
149,2280,0.96263874
150,1300,0.99940825
151,1320,0.61073583
152,1140,0.9319491
153,40,0.7895076
154,1300,0.99990654
155,2583,0.9995807
156,2522,0.9937448
157,2403,0.96736276
158,2060,0.95522934
159,1160,0.97940457
160,1560,0.9284201
161,1280,0.9634247
162,1560,0.68353367
163,10,0.5603103
164,2582,0.8275117
165,1320,0.96505374
166,2583,0.9988814
167,10,0.26454842
168,1301,0.99625814
169,2522,0.9954763
170,1280,0.7033333
171,2705,0.9981883
172,2583,0.82480884
173,1300,0.999701
174,2583,0.9973109
175,1300,0.99982774
176,2583,0.99530643
177,50,0.99776256
178,2220,0.5409355
179,2403,0.33407107
180,2583,0.9958197
181,1160,0.86578715
182,2220,0.9956638
183,2583,0.9976376
184,1140,0.78078175
185,1280,0.9176261
186,2583,0.9999194
187,1920,0.9993618
188,1280,0.6607765
189,1560,0.99928206
190,1280,0.8138806
191,1560,0.9933641
192,1560,0.9843627
193,1320,0.60319054
194,1280,0.9981369
195,2060,0.7234097
196,1560,0.92580897
197,10,0.18253759
198,10,0.26029953
199,10,0.19991216
200,1300,0.99976665
201,2583,0.9791308
202,1280,0.9542306
203,2582,0.9961998
204,1140,0.9992162
205,2280,0.36809632
206,2403,0.91466635
207,2583,0.99680626
208,1300,0.9993079
209,1920,0.7675565
210,1300,0.99965703
211,2462,0.43058893
212,1560,0.9965611
213,2522,0.8730118
214,1560,0.84033
215,1560,0.8288229
216,2060,0.96281683
217,2522,0.87125766
218,2280,0.9839708
219,1560,0.99095696
220,10,0.5362905
221,2585,0.9890071
222,1920,0.99885964
223,2705,0.98060983
224,2060,0.9179652
225,10,0.2683974
226,1280,0.9880333
227,2583,0.99995804
228,2585,0.76932853
229,2280,0.53992116
230,2905,0.9998498
231,1160,0.48260298
232,2403,0.67666423
233,1280,0.39901993
234,1300,0.9999366
235,2280,0.97806734
236,2582,0.9872595
237,2403,0.99442405
238,1140,0.9974474
239,1140,0.93848974
240,1160,0.93024683
241,1302,0.105341546
242,1560,0.97382927
243,1281,0.9929837
244,1940,0.99738103
245,2583,0.9995622
246,10,0.618065
247,2522,0.983186
248,2280,0.80826956
249,1920,0.9994307
250,2582,0.58280176
251,2583,0.5301404
252,1302,0.99488163
253,1920,0.57796204
254,1280,0.7741988
255,1560,0.9948315
256,2403,0.4666486
257,2583,0.9998141
258,2403,0.992247
259,2583,0.9996208
260,1280,0.7615169
261,2280,0.98211586
262,1920,0.99206454
263,10,0.26335293
264,10,0.68730277
265,1300,0.9997881
266,1280,0.7822178
267,2583,0.90242666
268,2522,0.9480215
269,1302,0.9992551
270,50,0.99442875
271,1300,0.99911517
272,40,0.640908
273,2583,0.99934965
274,1280,0.316329
275,1280,0.77074116
276,2280,0.3407926
277,1140,0.99319816
278,1560,0.99831164
